id;ANTIGUEDAD;SALDO_TOTAL;SALDO_RESUMEN;CANT_TARJETAS;EDAD;ESTADO_CIVIL;SEXO;CUENTA_BASICA;INGRESOS_NETOS;MAXIMA_MORA;ENDEUDAMIENTO;SIT_MAYOR1;SEGMENTO;SITUACION;DIRTY
161;111;3646,30;2173,98;1;86;Viudo/a;FEMENINO;0;57453,71;0;0,03;0;JUBILADO PROVIN;0;0
162;114;10577,03;3798,86;1;80;Viudo/a;FEMENINO;0;25980,03;0;0,31;0;JUBILADO PROVIN;1;0
163;23;6891,56;3157,12;1;75;Viudo/a;FEMENINO;0;20646,45;0;0,24;0;JUBILADO PROVIN;1;0
164;114;15,14;15,14;1;75;Viudo/a;FEMENINO;0;68186,98;0;0,67;8;JUBILADO PROVIN;1;0
165;111;12278,03;1405,34;2;75;Casado/a;FEMENINO;0;44286,80;0;0,04;0;JUBILADO PROVIN;1;0
166;27;5564,63;1508,95;1;70;Soltero/a;MASCULINO;0;19559,55;0;0,04;0;JUBILADO PROVIN;1;0
167;114;14648,94;6585,52;1;74;Casado/a;FEMENINO;1;43993,32;0;0,07;0;JUBILADO PROVIN;0;0
168;102;33732,95;8612,46;1;73;Viudo/a;FEMENINO;0;29609,60;0;0,57;1;JUBILADO PROVIN;3;0
169;74;18555,75;4406,03;1;73;Casado/a;FEMENINO;0;30897,17;0;0,10;0;JUBILADO PROVIN;0;0
170;111;0,00;0,00;1;85;Soltero/a;FEMENINO;0;43136,10;0;0,00;0;JUBILADO PROVIN;1;0
171;113;41207,37;10649,80;2;68;Viudo/a;MASCULINO;0;55315,87;0;0,21;2;JUBILADO PROVIN;1;0
172;113;41929,16;11632,02;1;69;Casado/a;MASCULINO;0;26512,46;0;0,24;12;JUBILADO PROVIN;1;0
173;110;46066,92;27519,68;2;69;Casado/a;MASCULINO;1;57572,03;0;0,30;0;JUBILADO PROVIN;1;0
174;110;19801,50;16426,86;2;69;Casado/a;MASCULINO;0;26780,41;0;0,36;8;JUBILADO PROVIN;4;0
175;114;987,09;427,44;1;82;Soltero/a;FEMENINO;0;12684,36;0;0,02;0;INDEFINIDOS;0;0
176;34;6204,95;1943,23;0;73;Casado/a;FEMENINO;0;39383,57;0;0,04;0;JUBILADO PROVIN;1;0
177;55;528,38;528,38;1;73;Viudo/a;FEMENINO;1;43782,21;0;0,00;0;JUBILADO PROVIN;0;0
178;115;668,26;0,00;1;73;Soltero/a;FEMENINO;0;23184,48;0;0,03;0;JUBILADO PROVIN;1;0
179;114;0,00;0,00;1;71;Soltero/a;FEMENINO;0;41354,37;0;0,00;0;JUBILADO PROVIN;0;0
180;55;21924,51;4006,62;1;72;Soltero/a;FEMENINO;0;40331,27;0;0,30;0;JUBILADO PROVIN;1;0
181;111;20331,73;3750,48;1;74;Casado/a;FEMENINO;0;34375,95;0;0,23;0;JUBILADO PROVIN;1;0
182;63;14761,96;8123,29;1;71;Casado/a;FEMENINO;0;67370,36;0;0,03;0;JUBILADO PROVIN;0;0
183;114;1193,43;1193,43;1;75;Soltero/a;FEMENINO;0;61923,10;0;0,00;0;JUBILADO PROVIN;1;0
184;114;2507,65;1706,52;1;72;Soltero/a;FEMENINO;0;27462,48;0;0,03;0;JUBILADO PROVIN;0;0
185;115;2630,72;837,89;1;85;Viudo/a;FEMENINO;0;76748,78;0;0,01;8;JUBILADO PROVIN;1;0
186;35;3405,66;2342,70;0;78;Soltero/a;FEMENINO;0;32286,83;0;0,02;0;JUBILADO PROVIN;0;0
187;111;307,62;307,62;1;84;Soltero/a;FEMENINO;0;27511,20;0;0,00;0;JUBILADO PROVIN;1;0
188;63;35831,02;10570,52;1;83;Viudo/a;FEMENINO;0;35715,72;51;0,26;0;JUBILADO PROVIN;0;1
189;113;14810,77;9156,96;1;77;Viudo/a;FEMENINO;0;34930,42;0;0,04;0;JUBILADO PROVIN;1;0
190;111;3914,13;2402,75;1;82;Viudo/a;FEMENINO;0;39080,82;25;0,02;0;JUBILADO PROVIN;1;0
191;111;5566,15;3712,21;1;90;Soltero/a;FEMENINO;0;24403,62;0;0,02;0;JUBILADO PROVIN;1;0
192;90;6048,54;1774,70;1;75;Viudo/a;FEMENINO;0;18868,20;1;0,07;0;JUBILADO NACION;0;0
193;99;2750,76;2750,76;1;81;Casado/a;FEMENINO;0;46172,92;0;0,00;0;JUBILADO PROVIN;1;0
194;111;10951,48;1177,63;1;75;Casado/a;FEMENINO;0;94554,44;0;0,16;0;JUBILADO PROVIN;1;0
195;114;27023,98;7959,92;1;77;Casado/a;FEMENINO;0;24750,45;0;0,25;0;JUBILADO PROVIN;1;0
196;114;20799,90;5200,34;1;77;Viudo/a;FEMENINO;0;33594,12;0;0,26;0;JUBILADO PROVIN;1;0
197;67;7131,60;1591,56;2;67;Soltero/a;MASCULINO;0;44408,60;0;0,24;0;META4;0;0
198;66;8155,49;3802,43;1;67;Soltero/a;FEMENINO;0;22304,06;0;0,11;0;JUBILADO NACION;0;0
199;93;33222,05;15977,27;1;67;Soltero/a;MASCULINO;0;89646,58;0;0,06;0;META4;0;0
200;57;280431,20;8129,03;2;61;Soltero/a;FEMENINO;0;47802,69;1;0,64;11;META4;1;0
201;113;14593,89;5079,96;1;77;Soltero/a;FEMENINO;0;44163,84;36;0,10;1;JUBILADO PROVIN;1;0
202;110;19936,21;3631,95;1;80;Viudo/a;FEMENINO;1;95576,38;0;0,03;0;JUBILADO PROVIN;0;0
203;92;27010,55;5718,62;1;79;Viudo/a;FEMENINO;0;49190,02;0;0,25;0;JUBILADO PROVIN;0;0
204;101;42043,16;9438,30;1;78;Viudo/a;FEMENINO;0;25485,88;0;0,46;0;JUBILADO PROVIN;0;0
205;104;14567,61;3522,08;1;79;Viudo/a;FEMENINO;0;49504,38;0;0,22;0;JUBILADO PROVIN;0;0
206;91;26798,25;11160,30;1;81;Viudo/a;FEMENINO;0;15518,18;0;0,61;11;JUBILADO NACION;1;0
207;114;29956,63;19959,09;1;67;Soltero/a;MASCULINO;0;99616,59;0;0,06;0;JUBILADO PROVIN;1;0
208;104;28791,25;18517,78;1;67;Viudo/a;MASCULINO;0;20649,93;0;0,50;0;JUBILADO PROVIN;1;0
209;114;9142,59;3305,38;1;67;Soltero/a;FEMENINO;0;25941,75;0;0,30;3;META4;0;0
210;114;3810,93;3810,93;1;67;Viudo/a;FEMENINO;0;42058,48;0;0,00;0;JUBILADO PROVIN;0;0
